function	cpu_instructions	memory_bytes
initialize/cold	91268	10448
initialize/warm	91929	11384
fund_c_address/amount=100	569803	96474
fund_c_address/amount=1000000	569803	96474
fund_c_address/amount=1000000000	569803	96474
batch_fund_c_address/size=1	376183	60053
batch_fund_c_address/size=5	755630	123327
batch_fund_c_address/size=10	1313649	226787
batch_fund_c_address/size=50	8832729	2029167
withdraw_fees/amount=10	303135	53210
withdraw_fees/amount=500	303135	53210
withdraw_fees/amount=5000	303135	53210
query_fee_bps	63268	9388
query_fee_collector	65482	9480
query_admin	64407	9388
query_is_initialized	60950	9300
query_is_paused	59471	9209
query_referral_rate	64702	9480
query_fee_balance	83295	12551
query_balance	57727	10324
query_is_blocked	41106	8139
query_is_allowlisted	42835	8393
query_allowlist_mode	59381	9481
query_nonce	40885	8411
query_calculate_fee	60914	9653
query_total_bridged	69031	11038
query_total_fees_collected	66970	10274
set_fee_bps	169205	20939
set_referral_rate	131074	19519
set_fee_collector	170358	22211
set_admin	168200	22296
add_asset	142419	22035
remove_asset	142277	21595
add_to_blocklist	137500	23883
remove_from_blocklist	132717	22884
add_to_allowlist	142048	25252
remove_from_allowlist	135717	24022
set_allowlist_mode	152203	23703
pause	167410	25728
unpause	171778	26868
# ── Second-sprint features (placeholder entries — run benchmarks to capture real values) ──
fund_c_address_timelocked	0	0
claim_timelocked	0	0
fund_c_address_crosschain	0	0
commit_fund	0	0
reveal_fund	0	0
fund_c_address_with_swap	0	0
execute_meta_fund	0	0
fund_c_address/tiered_fee	0	0
set_max_withdraw_per_tx	0	0
set_source_daily_limit	0	0
set_asset_fee_cap	0	0
